--- REPORTE DE VENTAS ---
No. Venta;Fecha;Total Vendido (C$);Costo de Productos (C$);Ganancia Bruta (C$)
V-20260823192437042048;2026-08-23 19:24:37;250.0;0.0;250.0
V-20260823115035362776;2026-08-23 11:50:35;90.0;60.0;30.0
V-20260823113629459997;2026-08-23 11:36:29;65.0;0.0;65.0
V-20260823113550212494;2026-08-23 11:35:50;104.0;20.0;84.0
V-20260822110452674501;2026-08-22 11:04:53;120.0;0.0;120.0

TOTALES VENTAS;;629.0;80.0;549.0


--- GASTOS VARIOS ---
No. Gasto;Fecha;Descripcion;Monto (C$)

TOTAL GASTOS;;;0


--- RESUMEN FINAL ---
Ganancia Bruta (Ventas - Costos);549.0
Total Gastos Varios;0
GANANCIA NETA;549.0
